,tickers,Time of Creation,count
862,AMC,2022-02-10,1
860,AMC,2022-02-11,1
839,AMC,2022-02-12,1
741,AMC,2022-02-17,3
779,AMC,2022-02-25,2
740,AMC,2022-03-01,3
778,AMC,2022-03-02,2
669,AMC,2022-03-15,10
859,AMC,2022-03-17,1
840,AMC,2022-03-18,1
672,AMC,2022-03-20,8
841,AMC,2022-03-29,1
842,AMC,2022-03-31,1
777,AMC,2022-04-05,2
843,AMC,2022-04-11,1
844,AMC,2022-04-19,1
776,AMC,2022-05-08,2
845,AMC,2022-05-13,1
690,AMC,2022-05-16,6
846,AMC,2022-05-18,1
775,AMC,2022-05-27,2
774,AMC,2022-06-01,2
847,AMC,2022-06-05,1
848,AMC,2022-06-18,1
849,AMC,2022-06-27,1
850,AMC,2022-06-29,1
851,AMC,2022-07-07,1
852,AMC,2022-07-14,1
773,AMC,2022-07-16,2
683,AMC,2022-07-18,7
739,AMC,2022-07-20,3
853,AMC,2022-07-31,1
772,AMC,2022-08-01,2
854,AMC,2022-08-02,1
705,AMC,2022-08-03,4
661,AMC,2022-08-04,11
684,AMC,2022-08-05,7
629,AMC,2022-08-06,30
855,AMC,2022-08-07,1
771,AMC,2022-08-08,2
856,AMC,2022-08-10,1
770,AMC,2022-08-14,2
857,AMC,2022-08-15,1
858,AMC,2022-08-16,1
780,AMC,2022-08-17,2
902,AMC,2022-08-18,1
783,AMC,2022-08-19,2
738,AMC,2022-08-20,3
903,AMC,2022-08-21,1
706,AMC,2022-08-22,4
782,AMC,2022-08-26,2
904,AMC,2022-08-30,1
737,AMC,2022-08-31,3
905,AMC,2022-09-01,1
906,AMC,2022-09-03,1
907,AMC,2022-09-25,1
707,AMC,2022-09-26,4
908,AMC,2022-09-27,1
909,AMC,2022-10-31,1
781,AMC,2022-11-05,2
910,AMC,2022-11-07,1
911,AMC,2022-11-08,1
912,AMC,2022-11-09,1
