create_Time,ticker,count
11/10/2020,CRSR,1
11/10/2020,NIO,1
11/10/2020,REAL,1
11/10/2020,RKT,1
11/10/2020,TSLA,1
11/10/2020,ZM,1
11/11/2020,NIO,5
11/11/2020,TSLA,1
11/11/2020,AMD,1
11/11/2020,IRL,1
11/11/2020,LOGI,1
11/11/2020,PLTR,1
11/11/2020,RTX,1
11/12/2020,NIO,18
11/12/2020,PLTR,5
11/12/2020,TSLA,2
11/12/2020,GME,1
11/12/2020,BP,1
11/13/2020,NIO,23
11/13/2020,PLTR,3
11/13/2020,JPM,1
11/13/2020,PR,1
11/13/2020,SAVE,1
11/13/2020,TSLA,1
11/13/2020,ACB,1
11/14/2020,NIO,21
11/14/2020,BABA,10
11/14/2020,TSLA,8
11/14/2020,AES,5
11/14/2020,NVDA,3
11/14/2020,GME,2
11/14/2020,PLTR,2
11/14/2020,JD,1
11/14/2020,ALL,1
11/14/2020,ARE,1
11/14/2020,BA,1
11/14/2020,CMPS,1
11/14/2020,IE,1
11/14/2020,KODK,1
11/14/2020,NKLA,1
11/14/2020,NOW,1
11/14/2020,PLUS,1
11/14/2020,SIX,1
11/14/2020,SOLO,1
11/14/2020,SP,1
11/14/2020,WOW,1
11/15/2020,NIO,14
11/15/2020,UNM,4
11/15/2020,AMC,2
11/15/2020,JD,2
11/15/2020,PDD,2
11/15/2020,TSLA,2
11/15/2020,PLTR,2
11/15/2020,LTC,1
11/15/2020,NVDA,1
11/15/2020,RKT,1
11/15/2020,TTM,1
11/15/2020,GM,1
11/15/2020,EDIT,1
11/15/2020,CCL,1
11/15/2020,BYND,1
11/15/2020,AMD,1
11/15/2020,BABA,1
11/16/2020,TSLA,11
11/16/2020,NIO,7
11/16/2020,PLTR,7
11/16/2020,AMC,4
11/16/2020,RRR,3
11/16/2020,BA,2
11/16/2020,ARR,1
11/16/2020,C,1
11/16/2020,CRSR,1
11/16/2020,DTC,1
11/16/2020,NOW,1
11/16/2020,PDT,1
11/16/2020,PRPL,1
11/16/2020,PRTS,1
11/16/2020,VERY,1
11/17/2020,PLTR,8
11/17/2020,NIO,7
11/17/2020,TSLA,2
11/17/2020,AKA,1
11/18/2020,PLTR,18
11/18/2020,SUMO,7
11/18/2020,NIO,6
11/18/2020,TSLA,3
11/18/2020,HD,3
11/18/2020,ML,2
11/18/2020,EDIT,2
11/18/2020,PLAY,2
11/18/2020,AMZN,1
11/18/2020,CNK,1
11/18/2020,CRSR,1
11/18/2020,EBAY,1
11/18/2020,IR,1
11/18/2020,NVDA,1
11/18/2020,NYC,1
11/18/2020,PTON,1
11/18/2020,SFM,1
11/18/2020,UPS,1
11/19/2020,TSLA,14
11/19/2020,NIO,4
11/19/2020,CAN,3
11/19/2020,MGM,3
11/19/2020,PLTR,3
11/19/2020,REAL,2
11/19/2020,NKLA,2
11/19/2020,GME,2
11/19/2020,ACB,1
11/19/2020,BLNK,1
11/19/2020,FUV,1
11/19/2020,GM,1
11/19/2020,OR,1
11/19/2020,TSN,1
11/19/2020,WE,1
11/20/2020,UTZ,10
11/20/2020,PLTR,10
11/20/2020,LUMN,5
11/20/2020,TSLA,2
11/20/2020,IT,1
11/20/2020,AES,1
11/20/2020,CBOE,1
11/20/2020,GME,1
11/20/2020,PDS,1
11/20/2020,PTON,1
11/20/2020,TLS,1
11/21/2020,PLTR,7
11/21/2020,RKT,7
11/21/2020,XPEV,3
11/21/2020,BABA,2
11/21/2020,TSLA,1
11/21/2020,RBLX,1
11/21/2020,ANY,1
11/21/2020,API,1
11/21/2020,BILL,1
11/21/2020,GIL,1
11/21/2020,GME,1
11/21/2020,JAN,1
11/21/2020,NIO,1
11/22/2020,PLTR,37
11/22/2020,OSTK,11
11/22/2020,MRVL,10
11/22/2020,JMIA,3
11/22/2020,GE,2
11/22/2020,SPOT,1
11/22/2020,AZN,1
11/22/2020,BFLY,1
11/22/2020,CRSR,1
11/22/2020,EDIT,1
11/22/2020,FDX,1
11/22/2020,GS,1
11/22/2020,MSFT,1
11/22/2020,NIO,1
11/22/2020,NVDA,1
11/22/2020,TSLA,1
11/22/2020,ALL,1
11/22/2020,AMD,1
11/23/2020,PLTR,54
11/23/2020,HTHT,13
11/23/2020,NIO,5
11/23/2020,API,4
11/23/2020,GRVY,3
11/23/2020,FCF,2
11/23/2020,NOW,2
11/23/2020,HST,2
11/23/2020,ATVI,1
11/23/2020,FCEL,1
11/23/2020,FLAG,1
11/23/2020,GME,1
11/23/2020,GOOD,1
11/23/2020,IT,1
11/23/2020,MS,1
11/23/2020,TSLA,1
11/23/2020,XPEV,1
11/23/2020,YOU,1
11/24/2020,PLTR,40
11/24/2020,NVAX,25
11/24/2020,MP,7
11/24/2020,SFM,5
11/24/2020,MGNI,3
11/24/2020,NVX,3
11/24/2020,RKT,3
11/24/2020,UP,3
11/24/2020,GME,3
11/24/2020,NIO,2
11/24/2020,VLDR,2
11/24/2020,TSLA,2
11/24/2020,THCA,2
11/24/2020,ALL,1
11/24/2020,BFLY,1
11/24/2020,C,1
11/24/2020,T,1
11/24/2020,CRSR,1
11/24/2020,DO,1
11/24/2020,EDIT,1
11/24/2020,GF,1
11/24/2020,ML,1
11/24/2020,NKLA,1
11/24/2020,PM,1
11/24/2020,RARE,1
11/24/2020,SOL,1
11/24/2020,THC,1
11/24/2020,TWO,1
11/25/2020,PLTR,78
11/25/2020,GME,14
11/25/2020,TSLA,4
11/25/2020,IBM,4
11/25/2020,MP,3
11/25/2020,NIO,3
11/25/2020,REE,3
11/25/2020,EA,2
11/25/2020,PLAY,1
11/25/2020,RBLX,1
11/25/2020,SJW,1
11/25/2020,SOLO,1
11/25/2020,SPCE,1
11/25/2020,UI,1
11/25/2020,WE,1
11/25/2020,WMT,1
11/25/2020,NYC,1
11/25/2020,LIFE,1
11/25/2020,JAN,1
11/25/2020,HP,1
11/25/2020,AMZN,1
11/25/2020,AVPT,1
11/25/2020,AZN,1
11/25/2020,BY,1
11/25/2020,CC,1
11/25/2020,CRSR,1
11/25/2020,GM,1
11/25/2020,HAS,1
11/26/2020,PLTR,55
11/26/2020,ACB,10
11/26/2020,CRM,5
11/26/2020,GME,3
11/26/2020,TSLA,2
11/26/2020,BLX,1
11/26/2020,CBD,1
11/26/2020,FREE,1
11/26/2020,HE,1
11/26/2020,RKT,1
11/26/2020,ROCK,1
11/26/2020,SO,1
11/26/2020,TD,1
11/26/2020,THC,1
11/27/2020,PLTR,101
11/27/2020,MSFT,22
11/27/2020,GME,10
11/27/2020,NIO,6
11/27/2020,ADBE,6
11/27/2020,AAPL,5
11/27/2020,GRVY,3
11/27/2020,AMZN,3
11/27/2020,INAQ,2
11/27/2020,ARR,2
11/27/2020,AVPT,2
11/27/2020,BB,2
11/27/2020,WE,2
11/27/2020,ACB,1
11/27/2020,ATVI,1
11/27/2020,BE,1
11/27/2020,C,1
11/27/2020,CAN,1
11/27/2020,DTE,1
11/27/2020,EVER,1
11/27/2020,HAS,1
11/27/2020,ZM,1
11/27/2020,JMIA,1
11/27/2020,MU,1
11/27/2020,NOW,1
11/27/2020,NVDA,1
11/27/2020,RBLX,1
11/27/2020,TPG,1
11/27/2020,TSLA,1
11/27/2020,VS,1
11/27/2020,XPEV,1
11/28/2020,PLTR,47
11/28/2020,GME,25
11/28/2020,MRNA,4
11/28/2020,TSLA,3
11/28/2020,TD,2
11/28/2020,CGC,2
11/28/2020,NNDM,2
11/28/2020,ALL,1
11/28/2020,HHS,1
11/28/2020,MSFT,1
11/28/2020,NIO,1
11/28/2020,NKLA,1
11/28/2020,PCB,1
11/28/2020,QS,1
11/28/2020,T,1
11/29/2020,NVAX,21
11/29/2020,PLTR,20
11/29/2020,FROG,17
11/29/2020,DOCU,11
11/29/2020,GME,10
11/29/2020,TSLA,5
11/29/2020,AMD,4
11/29/2020,NIO,3
11/29/2020,PRPL,3
11/29/2020,JPM,2
11/29/2020,XPEV,2
11/29/2020,ML,1
11/29/2020,ON,1
11/29/2020,STLD,1
11/29/2020,UP,1
11/29/2020,VS,1
11/29/2020,CRSR,1
11/29/2020,LI,1
11/29/2020,BYND,1
11/29/2020,AZN,1
11/29/2020,ALEX,1
11/29/2020,AM,1
11/30/2020,GME,35
11/30/2020,PLTR,24
11/30/2020,BNTX,13
11/30/2020,CD,12
11/30/2020,CCL,7
11/30/2020,MRNA,3
11/30/2020,TSLA,2
11/30/2020,NKLA,2
11/30/2020,PFE,2
11/30/2020,FCF,2
11/30/2020,AYX,2
11/30/2020,ACA,2
11/30/2020,AAPL,2
11/30/2020,TTD,1
11/30/2020,V,1
11/30/2020,WFC,1
11/30/2020,YOU,1
11/30/2020,UP,1
11/30/2020,TD,1
11/30/2020,SHOP,1
11/30/2020,BY,1
11/30/2020,ALL,1
11/30/2020,AMD,1
11/30/2020,APA,1
11/30/2020,AZN,1
11/30/2020,CF,1
11/30/2020,CGC,1
11/30/2020,CRSR,1
11/30/2020,EA,1
11/30/2020,JNJ,1
11/30/2020,LOVE,1
11/30/2020,MGM,1
11/30/2020,NOW,1
11/30/2020,NVAX,1
11/30/2020,RNA,1
12/1/2020,PLTR,28
12/1/2020,GME,23
12/1/2020,BB,3
